Date,Changed,Total Changed
2016/06/20,49,49
2016/06/27,272,321
2016/07/19,111,432
2016/07/22,309,741
2016/07/27,458,1199
2016/07/29,224,1423
2016/08/05,135,1558
2016/08/18,213,1771
2016/08/23,142,1913
2016/08/24,104,2017
2016/08/26,24,2041
2016/08/29,234,2275
2016/08/30,5253,7528
2016/08/31,667,8195
2016/09/02,646,8841
2016/09/13,21,8862
2016/09/14,143,9005
2016/09/15,136,9141
2016/09/20,62,9203
2016/09/27,5,9208
2016/09/28,3,9211
2016/09/29,2637,11848
2016/10/02,1,11849
2016/10/03,997,12846
2016/10/04,202,13048
2016/10/05,12,13060
2016/10/06,4079,17139
2016/10/07,608,17747
2016/10/09,8,17755
2016/10/11,29,17784
2016/10/12,6,17790
2016/10/14,45,17835
2016/10/15,1,17836
2016/10/16,664,18500
2016/10/17,1645,20145
2016/10/18,683,20828
2016/10/20,120,20948
2016/10/21,1203,22151
2016/10/22,287,22438
2016/10/23,7,22445
2016/10/24,278,22723
2016/10/25,66,22789
2016/10/26,603,23392
2016/10/27,1271,24663
2016/10/28,656,25319
2016/10/31,868,26187
2016/11/01,1080,27267
2016/11/02,10983,38250
2016/11/03,827,39077
2016/11/04,1042,40119
2016/11/05,6,40125
2016/11/06,54,40179
2016/11/07,8830,49009
2016/11/08,1320,50329
2016/11/09,5047,55376
2016/11/10,4821,60197
2016/11/11,366,60563
2016/11/12,339,60902
2016/11/13,10,60912
2016/11/14,2075,62987
2016/11/15,266,63253
2016/11/16,1276,64529
2016/11/17,1449,65978
2016/11/18,23429,89407
2016/11/19,12062,101469
2016/11/20,5534,107003
2016/11/21,1009,108012
2016/11/22,720,108732
2016/11/23,1249,109981
2016/11/24,205,110186
2016/11/25,488,110674
2016/11/26,2,110676
2016/11/27,457,111133
2016/11/28,2819,113952
2016/11/29,1408,115360
2016/11/30,8665,124025
2016/12/01,1344,125369
2016/12/02,3129,128498
2016/12/03,10583,139081
2016/12/04,347,139428
2016/12/05,4611,144039
2016/12/06,11185,155224
2016/12/07,9585,164809
2016/12/08,5040,169849
2016/12/09,3835,173684
2016/12/10,101,173785
2016/12/11,4633,178418
2016/12/12,11969,190387
2016/12/13,8829,199216
2016/12/14,1648,200864
2016/12/15,6585,207449
2016/12/16,1191,208640
2016/12/17,153,208793
2016/12/18,159,208952
2016/12/19,14751,223703
2016/12/20,5372,229075
2016/12/21,44012,273087
2016/12/22,1522,274609
2016/12/23,832,275441
2016/12/24,239,275680
2016/12/25,392,276072
2016/12/26,69,276141
2016/12/27,877,277018
2016/12/28,358,277376
2016/12/29,4685,282061
2016/12/30,378,282439
2016/12/31,38,282477
2017/01/01,765,283242
2017/01/02,28375,311617
2017/01/03,15915,327532
2017/01/04,8016,335548
2017/01/05,5374,340922
2017/01/06,1472,342394
2017/01/07,300,342694
2017/01/08,201,342895
2017/01/09,5407,348302
2017/01/10,2274,350576
2017/01/11,41618,392194
2017/01/12,6199,398393
2017/01/13,38600,436993
2017/01/14,901,437894
2017/01/15,403,438297
2017/01/16,13262,451559
2017/01/17,3324,454883
2017/01/18,215895,670778
2017/01/19,24053,694831
2017/01/20,8556,703387
2017/01/21,4003,707390
2017/01/22,2979,710369
2017/01/23,7618,717987
2017/01/24,30316,748303
2017/01/25,15568,763871
2017/01/26,2777,766648
2017/01/27,5094,771742
2017/01/28,407,772149
2017/01/29,7134,779283
2017/01/30,7888,787171
2017/01/31,4730,791901
2017/02/01,10007,801908
2017/02/02,7131,809039
2017/02/03,6418,815457
2017/02/04,26,815483
2017/02/05,675,816158
2017/02/06,6534,822692
2017/02/07,6913,829605
2017/02/08,7348,836953
2017/02/09,8060,845013
2017/02/10,3954,848967
2017/02/11,1978,850945
2017/02/12,2080,853025
2017/02/13,14933,867958
2017/02/14,30836,898794
2017/02/15,2894,901688
2017/02/16,15960,917648
2017/02/17,15034,932682
2017/02/18,3325,936007
2017/02/19,4028,940035
2017/02/20,5350,945385
2017/02/21,45016,990401
2017/02/22,10380,1000781
2017/02/23,9153,1009934
2017/02/24,37256,1047190
2017/02/25,5477,1052667
2017/02/26,2552,1055219
2017/02/27,338950,1394169
2017/02/28,3822,1397991
2017/03/01,13168,1411159
2017/03/02,2761,1413920
2017/03/03,434,1414354
2017/03/04,1414,1415768
2017/03/05,108,1415876
2017/03/06,1178,1417054
2017/03/07,3546,1420600
2017/03/08,2044,1422644
2017/03/09,498,1423142
2017/03/10,3110,1426252
2017/03/11,73,1426325
2017/03/12,250,1426575
2017/03/13,313,1426888
2017/03/14,2031,1428919
2017/03/15,245,1429164
2017/03/16,504,1429668
2017/03/17,967,1430635
2017/03/18,12,1430647
2017/03/19,3,1430650
2017/03/20,366,1431016
2017/03/21,175,1431191
2017/03/22,525,1431716
2017/03/23,41,1431757
2017/03/24,9,1431766
2017/03/27,46,1431812
2017/03/28,3,1431815
